UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Radiation
1475229326,9/29/2016 12:00:00 AM,23:55:26,48,30.46,59,177.39,5.62,06:13:00,18:13:00,1.21
1475229023,9/29/2016 12:00:00 AM,23:50:23,48,30.46,58,176.78,3.37,06:13:00,18:13:00,1.21
1475228726,9/29/2016 12:00:00 AM,23:45:26,48,30.46,57,158.75,3.37,06:13:00,18:13:00,1.23
1475228421,9/29/2016 12:00:00 AM,23:40:21,48,30.46,60,137.71,3.37,06:13:00,18:13:00,1.21
1475228124,9/29/2016 12:00:00 AM,23:35:24,48,30.46,62,104.95,5.62,06:13:00,18:13:00,1.17
1475227824,9/29/2016 12:00:00 AM,23:30:24,48,30.46,64,120.2,5.62,06:13:00,18:13:00,1.21
1475227519,9/29/2016 12:00:00 AM,23:25:19,49,30.46,72,112.45,6.75,06:13:00,18:13:00,1.2
1475227222,9/29/2016 12:00:00 AM,23:20:22,49,30.46,71,122.97,5.62,06:13:00,18:13:00,1.24
1475226922,9/29/2016 12:00:00 AM,23:15:22,49,30.46,80,101.18,4.5,06:13:00,18:13:00,1.23
1475226622,9/29/2016 12:00:00 AM,23:10:22,49,30.46,85,141.87,4.5,06:13:00,18:13:00,1.21
1475226323,9/29/2016 12:00:00 AM,23:05:23,49,30.47,93,120.55,2.25,06:13:00,18:13:00,1.23
1475226025,9/29/2016 12:00:00 AM,23:00:25,49,30.47,98,144.19,3.37,06:13:00,18:13:00,1.21
1475225720,9/29/2016 12:00:00 AM,22:55:20,49,30.47,99,139.8,6.75,06:13:00,18:13:00,1.22
1475225419,9/29/2016 12:00:00 AM,22:50:19,50,30.47,99,140.92,2.25,06:13:00,18:13:00,1.21
1475225131,9/29/2016 12:00:00 AM,22:45:31,50,30.47,99,147.61,5.62,06:13:00,18:13:00,1.23
1475224823,9/29/2016 12:00:00 AM,22:40:23,50,30.47,99,113.78,4.5,06:13:00,18:13:00,1.22
1475224519,9/29/2016 12:00:00 AM,22:35:19,50,30.47,99,123.03,10.12,06:13:00,18:13:00,1.21
1475224222,9/29/2016 12:00:00 AM,22:30:22,50,30.47,99,173.73,6.75,06:13:00,18:13:00,1.22
